__time,/mpc/computation/data,/mpc/horizon_prediction/data,/state/odom_pose/orientation/pitch,/state/odom_pose/orientation/roll,/state/odom_pose/orientation/w,/state/odom_pose/orientation/x,/state/odom_pose/orientation/y,/state/odom_pose/orientation/yaw,/state/odom_pose/orientation/z,/state/odom_pose/position/x,/state/odom_pose/position/y,/state/odom_pose/position/z,/state/ref_pose/orientation/pitch,/state/ref_pose/orientation/roll,/state/ref_pose/orientation/w,/state/ref_pose/orientation/x,/state/ref_pose/orientation/y,/state/ref_pose/orientation/yaw,/state/ref_pose/orientation/z,/state/ref_pose/position/x,/state/ref_pose/position/y,/state/ref_pose/position/z,/state/ref_twist/angular/x,/state/ref_twist/angular/y,/state/ref_twist/angular/z,/state/ref_twist/linear/x,/state/ref_twist/linear/y,/state/ref_twist/linear/z
537.026000,208855671.000000000,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.870883241,-1.222320254,-0.304194280,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.872375518,-1.187374265,-0.266726346,0.000000000,0.000000000,0.000000000,0.000000000,1.104832716,0.000000000,0.000000000
537.170000,240278055.000000000,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.879641209,-1.380674216,-0.345148839,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.877434449,-1.274174131,-0.297032244,0.000000000,0.000000000,0.000000000,0.000000000,1.170911340,0.000000000,0.000000000
537.289000,,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.882517138,-1.515989276,-0.380440858,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.884584568,-1.461190827,-0.346434232,0.000000000,0.000000000,0.000000000,0.000000000,1.166448677,0.000000000,0.000000000
537.293000,193340339.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
537.370000,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.884584568,-1.461190827,-0.346434232,0.000000000,,,,,,
537.371000,148381131.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.883045068,-1.617426602,-0.407258594,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.166448677,0.000000000,0.000000000
537.452000,158446244.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.883210079,-1.707663329,-0.431076290,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.883738116,-1.554234647,-0.371578590,0.000000000,0.000000000,0.000000000,0.000000000,1.167536341,0.000000000,0.000000000
537.598000,243423813.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.884998253,-1.854731842,-0.469325899,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.880150403,-1.753009422,-0.433933972,0.000000000,0.000000000,0.000000000,0.000000000,1.165949003,0.000000000,0.000000000
537.683000,166541808.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.887955511,-1.969647960,-0.498615060,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.881409114,-1.863472552,-0.467371403,0.000000000,0.000000000,0.000000000,0.000000000,1.198865016,0.000000000,0.000000000
537.770000,142221556.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.892201196,-2.062660011,-0.521465731,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.881409114,-1.863472552,-0.467371403,0.000000000,0.000000000,0.000000000,0.000000000,1.198865016,0.000000000,0.000000000
